Village,Survey,Site,HBR,survMaggr,CatchSite
TPN,10,1,0.76,12,TPN-1
TPN,10,2,0.44,12,TPN-2
TPN,10,3,0.46,12,TPN-3
TPN,10,4,0.4,12,TPN-4
TPN,10,5,0.96,12,TPN-5
TPN,11,1,,12,TPN-1
TPN,11,2,,12,TPN-2
TPN,11,3,,12,TPN-3
TPN,11,4,,12,TPN-4
TPN,11,5,,12,TPN-5
TPN,12,1,1.06,12,TPN-1
TPN,12,2,0.32,12,TPN-2
TPN,12,3,0.6,12,TPN-3
TPN,12,4,0.46,12,TPN-4
TPN,12,5,0.8,12,TPN-5
TPN,13,1,0.74,15,TPN-1
TPN,13,2,0.18,15,TPN-2
TPN,13,3,0.38,15,TPN-3
TPN,13,4,0.12,15,TPN-4
TPN,13,5,0.36,15,TPN-5
TPN,14,1,0.14,15,TPN-1
TPN,14,2,0.04,15,TPN-2
TPN,14,3,0.06,15,TPN-3
TPN,14,4,0,15,TPN-4
TPN,14,5,0.04,15,TPN-5
TPN,15,1,1.16,15,TPN-1
TPN,15,2,0.74,15,TPN-2
TPN,15,3,1.46,15,TPN-3
TPN,15,4,1.6,15,TPN-4
TPN,15,5,1.52,15,TPN-5
TPN,16,1,0.98,18,TPN-1
TPN,16,2,0.4,18,TPN-2
TPN,16,3,1.22,18,TPN-3
TPN,16,4,1.28,18,TPN-4
TPN,16,5,1.56,18,TPN-5
TPN,17,1,0.12,18,TPN-1
TPN,17,2,0.12,18,TPN-2
TPN,17,3,0.12,18,TPN-3
TPN,17,4,0.12,18,TPN-4
TPN,17,5,0.06,18,TPN-5
TPN,18,1,0.12,18,TPN-1
TPN,18,2,0.26,18,TPN-2
TPN,18,3,0.18,18,TPN-3
TPN,18,4,0.12,18,TPN-4
TPN,18,5,0.22,18,TPN-5
TPN,19,1,0.28,21,TPN-1
TPN,19,2,0.14,21,TPN-2
TPN,19,3,0.28,21,TPN-3
TPN,19,4,0.32,21,TPN-4
TPN,19,5,0.2,21,TPN-5
TPN,20,1,0.6,21,TPN-1
TPN,20,2,0.8,21,TPN-2
TPN,20,3,0.98,21,TPN-3
TPN,20,4,1.04,21,TPN-4
TPN,20,5,0.76,21,TPN-5
TPN,21,1,2.38,21,TPN-1
TPN,21,2,1.16,21,TPN-2
TPN,21,3,2.58,21,TPN-3
TPN,21,4,1.36,21,TPN-4
TPN,21,5,1.82,21,TPN-5
